Song Name,Artists,Album,Image_Info,Times Played
Angel,The Weeknd,Beauty Behind The Madness,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b', 'width': 640}",2
Angel Numbers / Ten Toes,Chris Brown,11:11,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27326883cd45415d1c8b05adad1', 'width': 640}",4
Another Life,SZA,SOS Deluxe: LANA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af', 'width': 640}",4
Another Love,Tom Odell,Long Way Down,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c894dbea54813d89d2e92f12', 'width': 640}",1
Antidote,Travis Scott,Rodeo,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160', 'width': 640}",1
Around Me (feat. Don Toliver),"Metro Boomin, Don Toliver",HEROES & VILLAINS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640}",1
As You Are,The Weeknd,Beauty Behind The Madness,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b', 'width': 640}",1
Awkward,SZA,Ctrl (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731882add8fd275c04e322027d', 'width': 640}",4
BACC (Bonus),Travis Scott,DAYS BEFORE RODEO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640}",1
BILLY,6ix9ine,Day69: Graduation Day,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734ab8b1c3369c5fc82d63ac79', 'width': 640}",1
BMF,SZA,SOS Deluxe: LANA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af', 'width': 640}",3
BOGUS,Don Toliver,Life of a DON,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ab738b25b86bf02f0346c53d', 'width': 640}",2
BOMB,"¥$, Kanye West, Ty Dolla $ign",VULTURES 2,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640}",1
BROTHER STONE (FEAT. KODAK BLACK),"Don Toliver, Kodak Black",HARDSTONE PSYCHO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5', 'width': 640}",1
BURN,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640}",1
BUSS HER UP,Baby Keem,DIE FOR MY BITCH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1', 'width': 640}]",4
Backyard,Travis Scott,DAYS BEFORE RODEO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640}",1
Baptized In Fear,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",4
Basement Freestyle,Travis Scott,DAYS BEFORE RODEO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640}",1
Behind These Hazel Eyes,Kelly Clarkson,Breakaway,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27303dadde4d9d305c1c3e0d91c', 'width': 640}",2
Black Boy Fly - Bonus Track,Kendrick Lamar,good kid,"m.A.A.d city (Deluxe) , {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d58e537cea05c2156792c53d', 'width': 640}",2
Brand New,Ben Rector,Brand New,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27368fa87944a95ad7317c00cff', 'width': 640}",4
CAN'T SAY,Travis Scott,ASTROWORLD,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640}",1
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640}",1
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b', 'width': 640}",1
Can't Feel My Legs,Don Toliver,Heaven Or Hell,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c', 'width': 640}",1
Cardigan,Don Toliver,Heaven Or Hell,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c', 'width': 640}",1
Cigarette Daydreams,Cage The Elephant,Melophobia,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12', 'width': 640}",2
Cinderella,"Future, Metro Boomin, Travis Scott",WE DON'T TRUST YOU,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8', 'width': 640}",1
Company Pt 2,Don Toliver,Life of a DON,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ab738b25b86bf02f0346c53d', 'width': 640}",1
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",HEROES & VILLAINS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640}",1
Cry For Me,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",2
D.D.,The Weeknd,Echoes Of Silence (Original),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27336fb79728dbb379579cef97e', 'width': 640}",1
Dancing In The Flames,The Weeknd,Dancing In The Flames,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb', 'width': 640}",6
Dark Horse,"Katy Perry, Juicy J",PRISM (Deluxe),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27347f930accd8ac01686401fa2', 'width': 640}]",2
Days Before Rodeo: The Prayer,Travis Scott,DAYS BEFORE RODEO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640}",1
Deuces Remix (feat. Drake & Kanye West),"Chris Brown, Drake, Kanye West",Deuces Remix,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734d89619547a31b9e2f11df75', 'width': 640}",1
"Deuces Remix (feat. Drake, T.I., Kanye West, Fabolous, Rick Ross & André 3000)","Chris Brown, Drake, T.I., Kanye West, Fabolous, Rick Ross, André 3000",Deuces Remix,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734d89619547a31b9e2f11df75', 'width': 640}",2
Diamond Boy (DTM),SZA,SOS Deluxe: LANA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af', 'width': 640}",5
Die For You,The Weeknd,Starboy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640}",2
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45', 'width': 640}",1
Digital Dash,"Drake, Future",What A Time To Be Alive,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d6adfbd3f091d6f2b9af6507', 'width': 640}",4
Do It Right,Don Toliver,Love Sick (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577', 'width': 640}",1
Dreamcatcher (feat. Swae Lee & Travis Scott),"Metro Boomin, Swae Lee, Travis Scott",NOT ALL HEROES WEAR CAPES (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732887f8c05b5a9f1cb105be29', 'width': 640}",1
Drugs You Should Try It,Travis Scott,DAYS BEFORE RODEO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640}",3
Dusk Till Dawn (feat. Sia),"Radio Edit - ZAYN, Sia",Icarus Falls,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27373fb56438ea764d64b2fdac7', 'width': 640}",1
E.T.,Katy Perry,Teenage Dream,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888', 'width': 640}",12
ESCAPE PLAN,Travis Scott,ESCAPE PLAN / MAFIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eba68473429f9f4eaf1943d0', 'width': 640}",3
Embarrassed (feat. Travis Scott),"Don Toliver, Travis Scott",Love Sick (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577', 'width': 640}",1
Enjoy The Show,The Weeknd,Hurry Up Tomorrow,640,11
Escape From LA,The Weeknd,After Hours,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36', 'width': 640}",2
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640}",3
FIELD TRIP,"¥$, Kanye West, Ty Dolla $ign",VULTURES 2,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640}",1
FRIED,"¥$, Kanye West, Ty Dolla $ign",VULTURES 2,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640}",8
FUK SUMN,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640}",3
Faith,The Weeknd,After Hours,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36', 'width': 640}",1
False Alarm,The Weeknd,Starboy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640}",1
Famous,Kanye West,The Life Of Pablo,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4', 'width': 640}",3
Far,SZA,SOS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1', 'width': 640}",4
Fearless (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de', 'width': 640}",3
Find Your Love,Drake,Thank Me Later,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27311b21e8b868800918d21bb77', 'width': 640}",5
Firework,Katy Perry,Teenage Dream,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888', 'width': 640}",1
Flocky Flocky (feat. Travis Scott),"Don Toliver, Travis Scott",Life of a DON,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ab738b25b86bf02f0346c53d', 'width': 640}",2
Flooded The Face,Lil Uzi Vert,Pink Tape,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27376fd3e8196fbf4a1ff08a845', 'width': 640}",1
Friends,Chase Atlantic,Nostalgia - EP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273efa7fe6f9ecee8ba9c877b60', 'width': 640}]",2
GIMME GIMME (feat. 21 Savage),"Katy Perry, 21 Savage",1432,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ddac71a12622bdc7e9d3e795', 'width': 640}",2
"GONE, GONE / THANK YOU","Tyler, The Creator",IGOR,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57', 'width': 640}",3
GOOBA,6ix9ine,TattleTales,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27308c1c9cba7dc84118976e66d', 'width': 640}",3
"GRAVITY (FEAT. TYLER, THE CREATOR)","Brent Faiyaz, Dahi, Tyler, The Creator",WASTELAND,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a', 'width': 640}",4
"Ghungroo (From ""War"")","Vishal&Shekhar, Arijit Singh, Shilpa Rao, Kumaar","Ghungroo (From ""War"")","{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273281650a8e8c5d04658d31ac1', 'width': 640}",2
Given Up On Me,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",2
Go Down (feat. TisaKorean),"Don Toliver, TisaKorean",Love Sick (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577', 'width': 640}",4
Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33', 'width': 640}",4
HAS A HEART,Katy Perry,1432,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ddac71a12622bdc7e9d3e795', 'width': 640}",3
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b', 'width': 640}",1
HONEST,Baby Keem,DIE FOR MY BITCH,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1', 'width': 640}",1
HYAENA,Travis Scott,UTOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640}",1
Hardest To Love,The Weeknd,After Hours (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640}",2
Harleys In Hawaii,Katy Perry,Harleys In Hawaii,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f36563773a882c66e3fca58e', 'width': 640}",2
Heartbeat,Childish Gambino,Camp,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736182cfe2e2a090d125c81dc0', 'width': 640}",4
Heartless,The Weeknd,After Hours,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36', 'width': 640}",1
Heaven Or Las Vegas,The Weeknd,Thursday (Original),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e01c2631218e2de27765b7d5', 'width': 640}",1
Heaven or Hell,Don Toliver,Heaven Or Hell,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c', 'width': 640}",1
High For This,The Weeknd,House Of Balloons (Original),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079', 'width': 640}",2
Hollywood's Bleeding,Post Malone,Hollywood's Bleeding,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02', 'width': 640}",1
Homecoming,"Kanye West, Chris Martin",Graduation,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a', 'width': 640}",1
Hours In Silence,"Drake, 21 Savage",Her Loss,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad', 'width': 640}",6
House Of Balloons / Glass Table Girls,The Weeknd,House Of Balloons (Original),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079', 'width': 640}",3
House of Memories - Sped Up Version,Panic! At The Disco,House Of Memories,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ffc21ada35a3746f273f42e6', 'width': 640}",1
How Deep Is Your Love,"Calvin Harris, Disciples",How Deep Is Your Love,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f4956c3ceefc6fa1cffc6da6', 'width': 640}",1
Hurts Me,"Tory Lanez, Trippie Redd, Yoko Gold",Alone at Prom (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734048d1ba8aa549c822504e03', 'width': 640}",4
I Can't Fucking Sing,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",6
I Can't Save You (Interlude) [with Future & feat. Don Toliver],"Metro Boomin, Future, Don Toliver",HEROES & VILLAINS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640}",1
I Can't Wait To Get There,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",2
I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",reputation Stadium Tour Surprise Song Playlist,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27363d77f99117b28af9f656918', 'width': 640}",1
I Feel It Coming,"The Weeknd, Daft Punk",Starboy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640}",1
ICE AGE (FEAT. TRAVIS SCOTT),"Don Toliver, Travis Scott",HARDSTONE PSYCHO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5', 'width': 640}",1
INSIDE (FEAT. TRAVIS SCOTT),"Don Toliver, Travis Scott",HARDSTONE PSYCHO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5', 'width': 640}",1
Impossible,Travis Scott,Rodeo,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160', 'width': 640}",1
In The Night,The Weeknd,Beauty Behind The Madness,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b', 'width': 640}",5
Is There Someone Else?,The Weeknd,Dawn FM (Alternate World),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273baae906c39533f95acb87d47', 'width': 640}",1
Jungle,Drake,If You're Reading This It's Too Late,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733', 'width': 640}]",2
Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273438799bc344744c12028bb0f', 'width': 640}",2
K-POP (feat. Bad Bunny & The Weeknd),"Travis Scott, Bad Bunny, The Weeknd",UTOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640}",1
KEYS TO MY LIFE,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640}",1
KING,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640}",1
Kiss Land,The Weeknd,Kiss Land,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730cc6c8a864d2d16a2bc507d4', 'width': 640}",1
LOVE IS A DRUG,Don Toliver,HARDSTONE PSYCHO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27387b5126aa892756d9a50faa4', 'width': 640}",1
La La La,"Naughty Boy, Sam Smith",La La La,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739213b0453a98f037f2230f3e', 'width': 640}",3
Lady Of Namek,Tory Lanez,Alone At Prom,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67', 'width': 640}",3
Lat Lag Gayee,"Benny Dayal, Shalmali Kholgade, Pritam",Race 2 (Original Motion Picture Soundtrack),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730df18810131fd56a87a5fc7a', 'width': 640}",1
Less Than Zero,The Weeknd,Dawn FM,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d', 'width': 640}",1
Let Me Down Slowly,Alec Benjamin,Narrated For You,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370', 'width': 640}",2
Life Of The Party,The Weeknd,Thursday (Original),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e01c2631218e2de27765b7d5', 'width': 640}",1
Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c', 'width': 640}",3
Live While We're Young,One Direction,Take Me Home (Expanded Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf', 'width': 640}",1
Look After You,The Fray,How To Save A Life,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27359b8b957f164ce660919f1f4', 'width': 640}",1
Lost,Frank Ocean,channel ORANGE,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5', 'width': 640}",4
Love Hurts (feat. Travis Scott),"Playboi Carti, Travis Scott",Die Lit,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194', 'width': 640}",2
Love In The Sky,The Weeknd,Kiss Land,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4860d5331509e2c9ee4de10', 'width': 640}",4
Love Yourself,Justin Bieber,Purpose (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de', 'width': 640}",1
M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27322ac75a1f50440962b7f70e6', 'width': 640}",6
MAFIA,Travis Scott,ESCAPE PLAN / MAFIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eba68473429f9f4eaf1943d0', 'width': 640}",1
MELTDOWN (feat. Drake),"Travis Scott, Drake",UTOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640}",1
MOSHPIT,Baby Keem,DIE FOR MY BITCH,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1', 'width': 640}",1
MY EX,Baby Keem,DIE FOR MY BITCH,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1', 'width': 640}",5
MY EYES,Travis Scott,UTOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640}",1
Magnolia,Playboi Carti,Playboi Carti,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1', 'width': 640}",1
Mamacita (feat. Rich Homie Quan & Young Thug),"Travis Scott, Rich Homie Quan, Young Thug",Mamacita (feat. Rich Homie Quan & Young Thug),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a53a4cb046216d7ac049b5bf', 'width': 640}",2
Maria,Justin Bieber,Believe (Deluxe Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736c20c4638a558132ba95bc39', 'width': 640}",3
Mary's Song (Oh My My My),Taylor Swift,Taylor Swift,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732f8c0fd72a80a93f8c53b96c', 'width': 640}",3
Missed You - Bonus Track,The Weeknd,After Hours (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640}",5
Moves Like Jagger,"Studio Recording From ""The Voice"" Performance - Maroon 5, Christina Aguilera",Hands All Over,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ce70cb2d7063cf869f9f1239', 'width': 640}",1
Murder on My Mind,YNW Melly,I AM YOU,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730f5397dc6aa91374897182e0', 'width': 640}",1
Mystery Lady,"Masego, Don Toliver",Studying Abroad: Extended Stay,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273472da7a855e1446b36bcb83b', 'width': 640}]",2
